Epoch: 375, PSNR: 32.6731, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 380, PSNR: 32.9182, best_epoch: 335, Best_PSNR: 32.9456
Epoch: 385, PSNR: 33.1448, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 390, PSNR: 32.7161, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 395, PSNR: 32.7505, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 400, PSNR: 32.7999, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 405, PSNR: 33.0140, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 410, PSNR: 33.1256, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 415, PSNR: 32.8918, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 420, PSNR: 33.1137, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 425, PSNR: 32.9588, best_epoch: 385, Best_PSNR: 33.1448
Epoch: 430, PSNR: 33.2402, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 435, PSNR: 32.7835, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 440, PSNR: 33.0815, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 445, PSNR: 32.9170, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 450, PSNR: 32.8260, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 455, PSNR: 32.8516, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 460, PSNR: 33.1478, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 465, PSNR: 32.8148, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 470, PSNR: 32.9398, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 475, PSNR: 33.0625, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 480, PSNR: 33.1204, best_epoch: 430, Best_PSNR: 33.2402
Epoch: 485, PSNR: 33.3136, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 490, PSNR: 33.1542, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 495, PSNR: 32.9836, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 500, PSNR: 32.8118, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 505, PSNR: 33.0841, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 510, PSNR: 32.7916, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 515, PSNR: 33.0825, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 520, PSNR: 32.8834, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 525, PSNR: 32.9802, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 530, PSNR: 33.0460, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 535, PSNR: 33.1576, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 540, PSNR: 32.9904, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 545, PSNR: 33.0699, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 550, PSNR: 32.3793, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 555, PSNR: 33.0735, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 560, PSNR: 33.0700, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 565, PSNR: 32.9626, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 570, PSNR: 32.9953, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 575, PSNR: 33.1217, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 580, PSNR: 33.1967, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 585, PSNR: 33.0279, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 590, PSNR: 33.1199, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 595, PSNR: 33.1474, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 600, PSNR: 33.2024, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 605, PSNR: 32.9485, best_epoch: 485, Best_PSNR: 33.3136
Epoch: 610, PSNR: 33.3275, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 615, PSNR: 33.0771, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 620, PSNR: 32.8942, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 625, PSNR: 32.8103, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 630, PSNR: 33.1128, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 635, PSNR: 32.9710, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 640, PSNR: 33.2096, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 645, PSNR: 33.0685, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 650, PSNR: 33.3043, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 655, PSNR: 33.0490, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 660, PSNR: 33.0845, best_epoch: 610, Best_PSNR: 33.3275
Epoch: 665, PSNR: 32.9282, best_epoch: 610, Best_PSNR: 33.3275
